index,u,v
31,0.550000,0.351562
32,0.548136,0.345569
33,0.548385,0.338809
34,0.547878,0.331737
35,0.551030,0.323660
36,0.551465,0.316081
37,0.551668,0.308783
38,0.551936,0.301295
39,0.551675,0.293524
40,0.551750,0.286338
41,0.552149,0.278926
42,0.551949,0.271761
43,0.551852,0.264614
44,0.551415,0.259223
45,0.551221,0.249939
46,0.550900,0.244833
47,0.550298,0.238477
48,0.550021,0.232458
49,0.549337,0.226494
50,0.549076,0.220993
51,0.548118,0.215565
52,0.546777,0.211028
53,0.544661,0.205525
54,0.541322,0.202606
55,0.534843,0.199790
56,0.528592,0.198654
57,0.521325,0.199140
58,0.513114,0.201247
59,0.505521,0.204618
60,0.498504,0.208763
61,0.491797,0.214344
62,0.484883,0.221322
63,0.480471,0.226069
64,0.475410,0.232171
65,0.470265,0.238081
66,0.464835,0.244285
67,0.459884,0.250616
72,0.455371,0.256864
74,0.450594,0.264012
77,0.445889,0.270442
78,0.441866,0.277057
80,0.437947,0.284170
82,0.434033,0.291217
85,0.430118,0.298317
87,0.417233,0.320726
88,0.413947,0.327601
91,0.404074,0.341017
93,0.398589,0.347782
94,0.395177,0.357771
96,0.382008,0.375804
136,0.355009,0.698996
137,0.346730,0.678331
139,0.344923,0.671286
140,0.338449,0.641367
141,0.336485,0.619829
142,0.336801,0.597216
143,0.338177,0.576128
144,0.339901,0.568638
145,0.339587,0.562415
147,0.340021,0.555007
148,0.344735,0.543600
149,0.352488,0.508856
150,0.356776,0.472206
152,0.357492,0.466438
153,0.358421,0.459828
154,0.359848,0.445541
155,0.366782,0.418082
156,0.369382,0.411185
157,0.378395,0.389140
159,0.381340,0.382835
160,0.384918,0.376095
162,0.388532,0.369975
166,0.418461,0.324650
167,0.438222,0.306746
168,0.444087,0.301380
170,0.456165,0.291133
171,0.462433,0.285897
172,0.474459,0.275681
173,0.480371,0.270203
175,0.485150,0.263104
176,0.489705,0.256400
178,0.494461,0.249749
179,0.504455,0.228544
180,0.507036,0.222346
181,0.506378,0.216284
182,0.505873,0.211962
183,0.504738,0.209959
216,0.545312,0.475000
254,0.344547,0.696921
255,0.347933,0.705272
256,0.351450,0.710462
257,0.358100,0.716236
258,0.363080,0.722466
259,0.368709,0.728317
260,0.372326,0.733254
261,0.380011,0.737743
262,0.387326,0.741111
263,0.393505,0.744617
264,0.400828,0.747221
265,0.409397,0.747798
266,0.416963,0.748721
267,0.424773,0.749428
268,0.431400,0.749633
269,0.437332,0.754207
270,0.439249,0.761010
271,0.441818,0.768119
272,0.445271,0.775772
273,0.440309,0.800147
274,0.441441,0.802379
275,0.491952,0.826747
288,0.443733,0.808567
289,0.442924,0.807813
290,0.443750,0.807813
291,0.448189,0.813446
317,0.387500,0.624231
328,0.369472,0.556250
330,0.368750,0.532037
331,0.368793,0.526666
332,0.373357,0.521023
333,0.372458,0.514448
334,0.372219,0.508856
335,0.374081,0.506347
391,0.500107,0.696646
392,0.497619,0.690689
393,0.494852,0.684168
394,0.492159,0.678054
395,0.489162,0.671642
396,0.486300,0.665345
397,0.483330,0.659015
398,0.480333,0.652789
399,0.478065,0.645371
400,0.476784,0.639203
401,0.472723,0.633407
402,0.470369,0.626619
403,0.468417,0.619452
404,0.466475,0.613126
405,0.464168,0.606674
406,0.462063,0.599637
407,0.459995,0.593427
408,0.457591,0.586455
409,0.455447,0.580323
410,0.453881,0.573738
411,0.450528,0.567104
412,0.448084,0.561207
413,0.445210,0.554633
414,0.440096,0.549065
415,0.436963,0.539955
416,0.434725,0.532575
417,0.433132,0.523157
418,0.432197,0.514703
419,0.431412,0.507225
420,0.431241,0.499607
421,0.431412,0.492003
422,0.431288,0.485572
423,0.459175,0.483553
424,0.462506,0.477822
425,0.465742,0.472296
426,0.468925,0.466339
427,0.472079,0.460183
428,0.475412,0.453965
429,0.478295,0.448124
430,0.481237,0.441835
431,0.483839,0.435864
432,0.486603,0.429787
433,0.489726,0.421705
434,0.491398,0.416440
435,0.493564,0.410108
436,0.495312,0.405477
437,0.498717,0.396285
438,0.500716,0.390574
439,0.502573,0.383858
440,0.504143,0.377411
441,0.505472,0.371132
442,0.506209,0.364819
443,0.506858,0.358255
444,0.507287,0.351847
445,0.506811,0.342489
446,0.506829,0.338355
447,0.506626,0.332081
448,0.506400,0.325602
449,0.505814,0.319308
450,0.505699,0.312887
451,0.505259,0.308393
452,0.504825,0.298622
453,0.503965,0.292682
454,0.503052,0.286507
455,0.502122,0.279897
456,0.502340,0.273184
457,0.503178,0.265764
458,0.504291,0.259089
459,0.506807,0.251993
460,0.509471,0.245612
462,0.519513,0.228691
463,0.523511,0.222905
464,0.530210,0.220109
465,0.538123,0.218956
466,0.544202,0.220205
469,0.560937,0.245312
470,0.560993,0.246620
471,0.563222,0.255473
472,0.563940,0.261097
473,0.564526,0.268248
474,0.565155,0.274948
475,0.565164,0.282727
476,0.561975,0.290384
477,0.561863,0.293215
478,0.575000,0.299960
482,0.548968,0.330003
483,0.547153,0.335045
484,0.542950,0.342897
485,0.542960,0.345299
486,0.541125,0.354478
487,0.539925,0.360725
488,0.539103,0.367172
489,0.538495,0.373654
490,0.538354,0.380278
491,0.538328,0.387048
492,0.538214,0.393435
493,0.538158,0.400003
494,0.537589,0.409620
495,0.537485,0.413315
496,0.537220,0.420150
497,0.537729,0.426749
498,0.538778,0.432913
499,0.540331,0.439080
500,0.541480,0.445984
501,0.542845,0.451135
512,0.576078,0.528642
513,0.574683,0.530885
514,0.572736,0.536929
515,0.572129,0.543706
516,0.567024,0.549827
517,0.565105,0.556059
518,0.562389,0.561572
519,0.559346,0.567564
520,0.556792,0.572878
521,0.554993,0.578815
522,0.579180,0.525259
523,0.390662,0.707840
524,0.394256,0.709158
526,0.401562,0.710938
527,0.535937,0.621926
528,0.534829,0.625413
529,0.533499,0.631286
530,0.532236,0.638204
531,0.530696,0.644953
532,0.528758,0.651099
533,0.526871,0.657827
534,0.525411,0.664715
535,0.523830,0.671462
536,0.522141,0.678622
537,0.520385,0.685264
538,0.518804,0.691942
548,0.455469,0.837503
673,0.678200,0.734180
674,0.679318,0.728635
675,0.682925,0.723567
676,0.686998,0.719255
677,0.692112,0.711099
678,0.695590,0.706927
679,0.679688,0.686696
680,0.680625,0.678822
681,0.681552,0.672226
682,0.683001,0.664879
683,0.684556,0.658328
684,0.684940,0.652148
685,0.685833,0.644774
686,0.687078,0.636724
687,0.687527,0.630991
688,0.687790,0.621744
689,0.687036,0.615467
690,0.687092,0.609870
691,0.687558,0.601561
692,0.687081,0.595033
693,0.686583,0.587351
694,0.684233,0.579378
695,0.683151,0.572619
696,0.682277,0.565948
697,0.681389,0.559868
698,0.680520,0.550470
699,0.679372,0.544634
700,0.676584,0.537153
701,0.676161,0.530880
702,0.673509,0.523191
703,0.673071,0.515672
704,0.672884,0.509073
705,0.672969,0.502527
706,0.673773,0.495722
707,0.674376,0.489292
708,0.674865,0.483575
709,0.675227,0.477212
710,0.675195,0.470652
711,0.675012,0.463808
712,0.674477,0.457280
713,0.673620,0.450290
714,0.672761,0.443192
715,0.671862,0.436581
716,0.670897,0.429900
717,0.669001,0.422625
718,0.667308,0.415295
719,0.665992,0.409609
720,0.663165,0.400522
721,0.660927,0.393851
