index,u,v
1343,0.504687,0.201539
1349,0.472186,0.254193
1358,0.423429,0.221230
1359,0.588253,0.259375
1360,0.607812,0.259375
1367,0.626148,0.554487
1368,0.639140,0.550687
1369,0.650583,0.538503
1375,0.735938,0.640625
1376,0.906308,0.125750
1377,0.909263,0.141280
1378,0.911658,0.156744
1379,0.910690,0.189993
1380,0.912283,0.241869
1381,0.916730,0.268162
1382,0.922236,0.299337
1383,0.929849,0.334493
1384,0.934715,0.370383
1385,0.946566,0.406978
1386,0.951988,0.457489
1387,0.949527,0.485092
1388,0.951423,0.498021
1389,0.957867,0.566115
1390,0.943988,0.586571
1391,0.917028,0.602371
1392,0.896847,0.628180
1393,0.868831,0.639756
1394,0.836398,0.664966
1395,0.810810,0.674169
1396,0.772478,0.680346
1397,0.747479,0.683360
1398,0.729911,0.687236
1399,0.660028,0.674440
1400,0.659375,0.678892
1401,0.659063,0.678347
1402,0.659375,0.681250
1403,0.507052,0.710938
1404,0.361384,0.667634
1405,0.360938,0.669527
1406,0.387658,0.664294
1407,0.309918,0.672459
1408,0.300198,0.675250
1409,0.266521,0.665022
1410,0.219437,0.646503
1411,0.194448,0.648645
1412,0.153592,0.619691
1413,0.123374,0.605875
1414,0.104522,0.586156
1415,0.086742,0.563474
1416,0.067579,0.538888
1417,0.062982,0.523616
1418,0.078335,0.466159
1419,0.085206,0.426874
1420,0.096036,0.496734
1421,0.103995,0.354940
1422,0.112749,0.320997
1423,0.121479,0.283107
1424,0.130615,0.245937
1425,0.137945,0.218656
1426,0.141112,0.160061
1427,0.141167,0.147206
1428,0.147639,0.127180
1429,0.207183,0.566969
1432,0.245434,0.574120
1433,0.259961,0.558853
1435,0.294665,0.507030
1437,0.340780,0.580974
1438,0.344681,0.593878
