index,x,y,z,xn,yn,zn,error
0,21.379202,-2.985075,19.011355,0.849362,-0.242463,0.468825,61.528920
20,16.482244,18.583906,15.720688,-0.881767,-0.199433,0.427451,2.347541
21,16.283399,18.775485,15.788542,-0.881767,-0.199433,0.427451,12.535702
22,16.962385,18.507405,15.137478,-0.753964,-0.554793,-0.351773,48.784992
23,16.680398,18.857166,15.309745,-0.881767,-0.199433,0.427451,65.093450
24,16.123918,19.991027,14.932300,-0.910648,-0.245684,0.332204,55.053070
25,15.904485,20.524383,14.729083,-0.911559,-0.248328,0.327710,36.473918
26,15.468890,21.277940,14.509338,-0.902084,-0.248286,0.352985,46.952935
27,-4.407634,19.895896,7.918536,-0.945017,0.227942,-0.234487,88.375599
28,14.622839,22.889340,13.864046,-0.677057,-0.545314,-0.494192,104.154682
29,14.068952,23.675882,13.592280,-0.668922,-0.543808,-0.506770,36.389644
30,13.551990,24.423728,13.293509,-0.648065,-0.551429,-0.525298,41.167332
31,13.098843,25.261096,12.990881,-0.491839,-0.543535,-0.680194,48.527146
32,12.527941,26.125730,13.134390,0.425536,0.534068,0.730541,78.653668
33,12.116163,26.872512,12.477795,-0.372948,-0.522371,-0.766837,24.595058
34,11.468041,27.677700,12.292289,0.332244,0.512089,0.792073,32.633116
35,11.276098,28.512552,11.707504,-0.305424,-0.504809,-0.807394,40.284948
36,10.953975,29.438920,11.438093,-0.355162,-0.540712,-0.762555,34.715238
37,10.576627,30.237009,11.087519,-0.405646,-0.561664,-0.721100,43.219089
38,10.258953,31.121643,10.762507,-0.443618,-0.591896,-0.672951,28.874323
39,9.862047,31.978352,10.420715,-0.458128,-0.580766,-0.672926,41.597445
40,9.498673,32.849662,10.038603,-0.488432,-0.547228,-0.679687,36.627879
41,9.152887,33.704349,9.682526,-0.500680,-0.535088,-0.680442,47.365404
42,8.794293,34.546394,9.331388,0.540250,0.523761,0.658638,41.660546
43,8.412153,35.380546,8.959696,0.520641,0.528379,0.670633,42.823331
44,8.015519,36.160196,8.644538,-0.523034,-0.529140,-0.668167,128.811113
45,7.542192,37.141717,8.169541,-0.570759,-0.560023,-0.600506,45.182002
46,7.155035,37.846116,7.821909,-0.631659,-0.597862,-0.493525,38.900134
47,6.667660,38.662865,7.426859,-0.627449,-0.614741,-0.477913,32.985517
48,6.238374,39.448532,7.020102,-0.642633,-0.631287,-0.434165,32.225273
49,5.793063,40.205013,6.632787,-0.570956,-0.655036,-0.494911,37.602867
50,5.313238,40.959014,6.229266,-0.527609,-0.682946,-0.505187,44.994040
51,4.823787,41.706910,5.838140,0.481867,0.715844,0.505343,37.993540
52,4.225676,42.459884,5.355402,0.454661,0.753229,0.475320,33.860352
53,3.537603,43.182358,5.021917,0.423171,0.792796,0.438635,20.273354
54,2.822577,43.695588,4.759363,0.303654,0.842253,0.445426,40.379081
55,1.914485,44.130951,4.764412,0.216455,0.861585,0.459150,31.118716
56,0.996202,44.399003,4.840496,0.144194,0.859128,0.491027,37.316586
57,0.035928,44.426704,4.981777,0.067549,0.857425,0.510156,32.052898
58,-0.696417,44.175196,4.793810,0.018676,0.900646,0.434152,109.048894
59,-1.700904,43.817262,5.524315,-0.037353,0.834986,0.549002,49.600092
60,-2.212507,43.265815,6.351322,0.109965,-0.781666,-0.613927,28.611306
61,-2.582337,42.610118,6.968585,0.126635,-0.737052,-0.663866,38.909867
62,-2.938123,41.752400,7.662232,0.201989,-0.729259,-0.653745,36.120832
63,-3.332963,41.157388,7.980023,-0.300193,0.680473,0.668462,26.233080
64,-3.322405,40.259355,8.792324,0.343283,-0.647755,-0.680125,45.562931
65,-3.593564,39.492066,9.403963,0.391593,-0.615806,-0.683695,27.742919
66,-3.762370,38.687685,9.962475,0.438479,-0.572072,-0.693159,31.842366
67,-3.924006,37.918172,10.506721,0.430535,-0.564098,-0.704580,42.317606
68,-4.180848,37.217290,11.010824,0.373090,-0.532320,-0.759894,28.030194
69,-4.180481,35.835355,11.748774,0.241151,-0.503785,-0.829486,17.641935
70,-4.412007,35.375623,12.150576,0.236867,-0.508530,-0.827823,22.216558
71,-4.530665,34.561442,12.637988,0.228689,-0.518008,-0.824238,27.773642
72,-4.549265,33.676484,13.113312,0.150258,-0.540304,-0.827946,34.255864
73,-4.663648,32.822911,13.597524,0.067161,-0.559639,-0.826011,34.796425
74,-4.710565,31.950789,14.076731,0.002847,-0.532278,-0.846565,18.802945
75,-4.832851,31.069308,14.475336,0.001641,-0.545093,-0.838374,29.866679
76,-4.981451,30.175914,14.917048,0.002077,-0.521599,-0.853188,27.211955
77,-5.138587,29.347473,15.324581,-0.119692,-0.459650,-0.879997,17.466944
78,-5.111542,28.418358,15.900240,-0.105792,-0.457955,-0.882658,41.170787
79,-5.210339,27.616207,16.366486,-0.100659,-0.467615,-0.878182,29.922923
80,-5.453869,26.831155,16.814969,-0.028123,-0.486616,-0.873163,42.253046
81,-5.826661,25.932313,17.223868,0.130264,-0.518266,-0.845241,37.199066
82,-5.659969,25.238902,16.967933,0.197522,-0.528418,-0.825687,5.019988
83,-6.347413,24.222588,18.037583,0.548005,-0.521757,-0.653804,25.477497
84,-6.100514,23.700356,17.738226,0.597369,-0.515230,-0.614564,32.549682
85,-6.153308,22.738609,18.101697,0.665823,-0.491577,-0.561277,53.849700
86,-6.372956,21.984151,18.500902,0.681876,-0.479579,-0.552312,35.345782
87,-7.765422,21.289749,19.302763,0.698734,-0.468815,-0.540356,19.464679
88,-7.883307,20.523128,19.649476,0.703953,-0.469274,-0.533134,20.824794
89,-8.124994,19.634567,20.122777,0.715800,-0.475834,-0.511089,14.921650
90,-8.278598,18.839203,20.509059,0.731136,-0.478169,-0.486615,20.692745
91,-8.490977,18.143076,20.872984,0.746385,-0.483402,-0.457419,5.912065
92,-7.961821,17.813452,20.772206,0.746385,-0.483402,-0.457419,10.571260
93,-7.951593,17.590627,20.970056,0.736111,-0.503730,-0.452103,9.125600
110,-18.254669,-16.004915,10.394747,-0.701639,-0.612670,0.363783,31.004445
111,-18.864732,-15.354160,10.388905,-0.707017,-0.580376,0.404092,28.665397
112,-19.568447,-14.559141,10.329981,-0.723502,-0.554054,0.411787,40.596718
113,-20.166897,-13.816983,10.316005,-0.739719,-0.525861,0.419865,38.281692
114,-20.717059,-13.030828,10.243429,-0.757866,-0.464683,0.457939,36.197225
115,-21.297510,-12.193802,10.182916,-0.771418,-0.437149,0.462402,27.600478
116,-21.871599,-11.333893,10.092348,-0.782772,-0.414023,0.464600,30.374785
117,-22.292300,-10.469066,9.946633,-0.791836,-0.395283,0.465562,25.371053
118,-22.776132,-9.655655,9.782861,-0.799889,-0.363832,0.477288,33.324058
119,-23.260801,-8.834644,9.619310,-0.808931,-0.344019,0.476741,26.842316
120,-23.734066,-7.940096,9.433052,-0.857971,-0.365035,0.361436,19.050978
121,-24.203440,-7.031375,9.242622,-0.879465,-0.389003,0.274258,30.140999
122,-24.553020,-6.192004,8.994363,-0.921752,-0.344841,0.177362,29.584741
123,-24.934202,-5.244466,8.763721,-0.931300,-0.309095,0.192721,27.304430
124,-25.291564,-4.372193,8.514028,-0.941227,-0.261334,0.214003,64.103801
125,-25.651314,-3.444357,8.234699,-0.942296,-0.255841,0.215924,84.811373
126,-25.846032,-2.530918,8.072456,-0.946019,-0.213607,0.243764,28.158452
127,-26.298251,-1.672154,7.606533,-0.943171,-0.153938,0.294502,54.103388
128,-26.260055,-0.617479,7.334043,-0.946288,-0.118580,0.300795,86.829709
129,-26.936194,0.077732,7.040078,-0.943734,-0.119261,0.308453,33.371285
130,-26.348078,1.087950,6.929994,-0.938382,-0.047593,0.342308,34.562509
131,-26.526630,2.575264,6.704802,-0.922997,-0.029293,0.383690,49.943206
132,-26.488550,3.210757,6.467675,-0.911385,0.011559,0.411393,8.038099
133,-26.524299,4.164325,6.330741,-0.895105,0.046750,0.443397,38.713206
134,-26.457805,5.167238,6.212845,-0.892396,0.065422,0.446486,33.181911
135,-26.247915,6.510377,6.147751,-0.870787,0.116189,0.477734,61.321865
136,-26.073341,7.199098,6.116201,-0.869590,0.129503,0.476489,45.959723
137,-25.846961,8.202423,6.098496,-0.861206,0.146539,0.486674,42.660035
138,-25.654738,9.104010,6.188008,-0.859885,0.168095,0.482018,23.216582
139,-25.404950,10.037553,6.326898,-0.854143,0.179539,0.488063,21.259668
140,-26.268159,10.973128,6.602942,-0.854933,0.196108,0.480241,89.508001
141,-24.675804,12.061195,6.732075,-0.841752,0.223413,0.491468,52.128964
142,-24.332256,12.863969,6.920307,-0.840914,0.233796,0.488061,26.260941
143,-23.994357,13.702640,7.139196,-0.850440,0.268394,0.452457,29.036835
144,-23.648569,14.609947,7.371228,-0.848726,0.288094,0.443471,22.938372
145,-23.271456,15.499216,7.566348,-0.848314,0.310560,0.428854,22.482198
146,-22.849364,16.407317,7.743928,-0.845614,0.320455,0.426903,18.207331
147,-22.455235,17.271133,7.921572,-0.839483,0.349905,0.415735,19.098472
148,-22.004954,18.145591,8.060425,-0.834910,0.360287,0.416076,11.901830
149,-21.557928,19.008495,8.166996,-0.824882,0.387827,0.411289,19.548092
150,-21.100122,19.923567,8.214308,-0.828398,0.397581,0.394571,12.276840
151,-20.649583,20.808135,8.222309,-0.824790,0.417859,0.380941,13.342766
152,-20.232978,21.598420,8.188391,-0.819567,0.431951,0.376469,24.206839
153,-19.668445,22.693483,8.130240,-0.809247,0.460159,0.365203,25.897779
154,-19.262069,23.470995,8.029984,-0.803073,0.467815,0.369084,15.851209
155,-18.799854,24.320880,7.916040,-0.798031,0.487061,0.354849,18.363965
156,-18.305767,25.210313,7.765101,-0.791605,0.505392,0.343424,18.778033
157,-17.835212,26.083910,7.579356,-0.783866,0.523629,0.333715,19.037882
158,-17.384761,26.915336,7.371407,-0.778144,0.534456,0.329923,26.268081
159,-16.906500,27.759008,7.120867,-0.768372,0.550272,0.326810,21.094812
160,-16.431844,28.605751,6.824331,-0.757894,0.568203,0.320534,21.991852
161,-16.003088,29.380533,6.529396,-0.746377,0.586044,0.315395,30.016290
162,-15.442356,30.099388,6.188351,-0.739649,0.595971,0.312632,43.741507
163,-14.945539,31.062286,5.717189,-0.724791,0.614406,0.311741,36.529465
164,-14.483137,31.749766,5.358155,-0.695014,0.639715,0.328208,21.559687
165,-14.027324,32.450960,4.943483,-0.661128,0.665387,0.346656,21.335267
166,-13.474012,33.212916,4.448020,-0.656445,0.669673,0.347302,21.644271
167,-13.124638,33.758891,4.102073,-0.652889,0.673700,0.346213,59.970411
168,-12.493126,34.618897,3.444416,-0.715814,0.669742,0.197628,22.939446
169,-12.028391,35.316582,2.901427,-0.751129,0.641298,0.156656,22.553209
170,-11.575351,35.995606,2.348257,-0.787619,0.606835,0.106808,26.543580
171,-11.100550,36.724069,1.734998,-0.800581,0.595936,0.062693,27.032382
172,-10.498988,37.402236,1.302318,0.811850,-0.579927,-0.067714,25.054942
173,-10.135487,37.958536,0.283177,0.820360,-0.563779,0.095720,37.318010
174,-9.513076,38.842399,0.138737,-0.806892,0.583899,-0.089370,69.816985
175,-9.821011,39.373658,0.358124,-0.806892,0.583899,-0.089370,51.681990
176,-8.338534,40.514153,0.141378,0.767006,-0.637825,0.069866,35.240755
177,-7.973693,41.315359,0.078141,-0.757251,0.652125,-0.036122,50.025457
178,-7.257099,42.077415,0.170934,-0.704391,0.707088,-0.062130,46.158429
179,-6.592100,42.929526,0.441462,-0.664284,0.746961,0.027875,50.185103
180,-5.991431,43.524413,0.827623,-0.583507,0.807279,0.088430,51.507022
181,-5.409026,44.037494,1.545180,-0.550777,0.816630,0.172511,28.885823
182,-4.881994,44.296153,2.289695,-0.508998,0.827218,0.237975,22.977957
183,-4.485999,44.343343,3.145812,-0.501021,0.826878,0.255444,37.444322
184,-4.137444,44.173979,4.034344,-0.453274,0.832810,0.317757,15.990339
185,-3.872128,43.782653,4.954815,-0.415272,0.820902,0.392007,32.736762
186,-3.961559,43.300828,5.707971,-0.396574,0.794977,0.459065,21.821039
187,-4.092006,42.442437,6.536199,-0.411192,0.731583,0.543790,16.801947
188,-4.293409,41.680404,7.103754,-0.391177,0.716555,0.577520,48.535515
189,-4.718151,40.861786,7.405385,0.414805,-0.672040,-0.613433,22.903104
190,-5.272946,40.131651,7.832222,0.472480,-0.616961,-0.629382,38.458507
191,-5.665484,39.351630,8.060347,0.496273,-0.603488,-0.624111,14.420661
192,-6.267503,38.570199,8.249456,0.455549,-0.585891,-0.670229,29.342679
193,-6.869696,37.835967,8.409114,0.449430,-0.567836,-0.689619,28.011058
194,-7.514084,37.144380,8.560554,0.577225,-0.577689,-0.577136,23.998250
195,-8.428205,36.224630,8.778024,0.593672,-0.593664,-0.543246,46.711709
196,-7.567673,34.940863,10.017997,-0.427725,0.537782,0.726527,75.704497
197,-7.278180,34.279706,10.058805,-0.399203,0.513805,0.759369,44.327715
