index,x,y,z,xn,yn,zn,error
0,21.305247,-2.691924,19.066988,0.849254,-0.242725,0.468884,58.971592
16,-4.960455,14.132666,39.574794,0.847222,-0.485075,-0.216604,19.109968
17,-4.830457,14.161277,39.430081,0.847222,-0.485075,-0.216604,0.200852
20,16.408217,18.835655,15.787178,-0.881855,-0.199549,0.427213,1.911098
21,16.209816,19.026803,15.854896,-0.881855,-0.199549,0.427213,12.081469
22,16.888993,18.758797,15.207627,-0.753965,-0.554741,-0.351851,48.446248
23,16.606954,19.108152,15.379462,-0.881855,-0.199549,0.427213,64.199738
24,16.052237,20.238683,15.005424,-0.910741,-0.245822,0.331848,54.752289
25,15.833684,20.771644,14.799756,-0.911654,-0.248471,0.327337,36.264561
26,15.399037,21.523563,14.580542,-0.902184,-0.248433,0.352625,46.817556
27,-4.386836,20.149737,8.019730,-0.944548,0.225662,-0.238550,88.111080
28,14.554153,23.131605,13.936627,-0.676775,-0.545192,-0.494713,103.930450
29,14.002180,23.916309,13.665645,-0.668713,-0.543705,-0.507156,36.340981
30,13.485817,24.662611,13.367454,-0.647850,-0.551325,-0.525672,41.121994
31,13.034757,25.498252,13.065512,-0.491659,-0.543437,-0.680402,48.253555
32,12.464236,26.360634,13.207291,0.425462,0.534011,0.730627,78.303385
33,12.053334,27.105977,12.553886,-0.372941,-0.522315,-0.766878,24.359449
34,11.406781,27.909360,12.368745,0.332243,0.512037,0.792107,32.399286
35,11.215336,28.742485,11.785306,-0.305422,-0.504758,-0.807426,40.014791
36,10.893534,29.666719,11.516385,-0.355167,-0.540689,-0.762569,34.547118
37,10.517293,30.463098,11.166841,-0.405611,-0.561633,-0.721144,43.040232
38,10.199971,31.345786,10.842202,-0.443558,-0.591848,-0.673032,28.802844
39,9.804215,32.200743,10.501424,-0.458061,-0.580721,-0.673011,41.436557
40,9.441398,33.070206,10.120005,-0.488379,-0.547168,-0.679774,36.493745
41,9.096566,33.922975,9.765002,-0.500629,-0.535025,-0.680529,47.165115
42,8.738784,34.763168,9.414734,0.540199,0.523692,0.658735,41.485531
43,8.357522,35.595527,9.043923,0.520605,0.528300,0.670723,42.668730
44,7.961945,36.373491,8.729153,-0.522992,-0.529059,-0.668264,128.507239
45,7.489656,37.352996,8.255594,-0.570699,-0.559937,-0.600644,45.058297
46,7.103382,38.055883,7.908782,-0.631587,-0.597790,-0.493706,38.693749
47,6.617116,38.870876,7.514663,-0.627383,-0.614668,-0.478094,32.896026
48,6.188812,39.654856,7.108862,-0.642551,-0.631235,-0.434363,32.106862
49,5.744520,40.409711,6.722459,-0.570873,-0.654969,-0.495095,37.513980
50,5.265789,41.162093,6.319887,-0.527558,-0.682880,-0.505329,44.900106
51,4.777450,41.908382,5.929679,0.481808,0.715786,0.505482,37.905374
52,4.180505,42.659838,5.447852,0.454629,0.753178,0.475432,33.732329
53,3.493981,43.380756,5.115165,0.423142,0.792746,0.438754,20.294019
54,2.780518,43.892820,4.853257,0.303630,0.842203,0.445536,40.310683
55,1.874436,44.327218,4.858330,0.216427,0.861533,0.459261,31.100199
56,0.958208,44.594755,4.934241,0.144168,0.859076,0.491125,37.308778
57,0.000000,44.622380,5.075285,0.067527,0.857381,0.510234,32.017772
58,-0.730315,44.371410,4.887491,0.018650,0.900609,0.434230,108.920104
59,-1.733412,44.014282,5.615422,-0.037376,0.834952,0.549052,49.278328
60,-2.243659,43.464099,6.442261,0.109974,-0.781646,-0.613950,28.503941
61,-2.612735,42.809767,7.058109,0.126657,-0.737036,-0.663880,38.822303
62,-2.967806,41.953840,7.750163,0.202028,-0.729244,-0.653749,35.980252
63,-3.361221,41.359802,8.067751,-0.300281,0.680469,0.668426,26.087304
64,-3.351343,40.463919,8.877659,0.343364,-0.647745,-0.680094,45.309723
65,-3.621909,39.698194,9.487918,0.391609,-0.615754,-0.683732,27.840023
66,-3.790443,38.895535,10.045123,0.438590,-0.572021,-0.693131,31.738457
67,-3.951770,38.127633,10.588117,0.430640,-0.564044,-0.704559,42.126700
68,-4.208256,37.428072,11.091327,0.373134,-0.532259,-0.759915,27.763369
69,-4.207937,36.049292,11.828192,0.241085,-0.503731,-0.829538,17.445461
70,-4.438984,35.590244,12.228471,0.236787,-0.508479,-0.827878,21.970631
71,-4.557415,34.777762,12.714765,0.228603,-0.517950,-0.824298,27.522312
72,-4.576039,33.894799,13.188936,0.150144,-0.540220,-0.828021,34.047336
73,-4.690212,33.043018,13.672033,0.066953,-0.559514,-0.826112,34.568765
74,-4.737063,32.172731,14.150137,0.002394,-0.532147,-0.846648,18.590560
75,-4.858935,31.293099,14.547070,0.001218,-0.544944,-0.838472,29.867865
76,-5.007248,30.401605,14.987733,0.001535,-0.521403,-0.853309,27.071925
77,-5.164255,29.574905,15.395074,-0.119593,-0.459641,-0.880016,17.184796
78,-5.137138,28.647780,15.968610,-0.105608,-0.457977,-0.882669,41.104453
79,-5.235753,27.847331,16.433765,-0.100426,-0.467653,-0.878189,29.950723
80,-5.479188,27.064044,16.880120,-0.027813,-0.486670,-0.873143,42.036836
81,-5.850843,26.167232,17.287820,0.130381,-0.518267,-0.845222,37.021870
82,-5.695330,25.469944,17.050416,0.197452,-0.528400,-0.825715,5.070260
83,-6.370540,24.461190,18.099525,0.546958,-0.521859,-0.654599,25.336835
84,-6.126133,23.939673,17.804342,0.596149,-0.515391,-0.615612,32.583586
85,-6.178843,22.979923,18.166961,0.664687,-0.491798,-0.562429,53.628616
86,-6.398072,22.227017,18.565260,0.680850,-0.479803,-0.553383,35.165562
87,-7.785976,21.534381,19.364822,0.697825,-0.469015,-0.541355,19.747212
88,-7.903647,20.769373,19.710733,0.703083,-0.469459,-0.534119,21.112543
89,-8.144865,19.882673,20.182957,0.715020,-0.475987,-0.512038,15.233244
90,-8.298179,19.088978,20.568353,0.730470,-0.478314,-0.487472,21.000768
91,-8.512039,18.393787,20.932106,0.745778,-0.483548,-0.458254,6.003743
92,-7.983906,18.064872,20.831467,0.745778,-0.483548,-0.458254,10.445426
93,-7.972004,17.843311,21.026506,0.735535,-0.503864,-0.452891,9.340872
110,-18.251191,-15.678207,10.473679,-0.706681,-0.609482,0.359353,30.742396
111,-18.859948,-15.028795,10.467939,-0.720424,-0.581427,0.378062,28.708925
112,-19.562284,-14.235702,10.408772,-0.729715,-0.529277,0.432877,40.928616
113,-20.159465,-13.495092,10.394955,-0.738737,-0.527275,0.419820,38.321296
114,-20.708451,-12.710562,10.322636,-0.756860,-0.466995,0.457251,36.255039
115,-21.287597,-11.875282,10.262321,-0.771037,-0.439277,0.461017,27.643210
