index,u,v
21,0.706250,0.426563
22,0.704588,0.424572
23,0.705620,0.422788
24,0.700987,0.414379
25,0.697994,0.407220
26,0.694822,0.400387
27,0.691102,0.393035
28,0.687562,0.386219
29,0.684586,0.379274
30,0.680157,0.372077
31,0.676439,0.364628
32,0.673452,0.356725
33,0.670230,0.349833
34,0.666192,0.342572
35,0.661313,0.335285
36,0.658352,0.327549
37,0.654476,0.320172
38,0.651035,0.314399
39,0.647327,0.301235
40,0.643309,0.295436
41,0.639730,0.288293
42,0.635951,0.280867
43,0.631794,0.273445
44,0.628139,0.266300
45,0.622266,0.257147
46,0.618712,0.251018
47,0.614087,0.243468
48,0.609456,0.236167
49,0.604580,0.228805
50,0.599685,0.221577
51,0.595001,0.215066
52,0.590208,0.207263
53,0.584598,0.199363
54,0.580669,0.193699
55,0.576562,0.187530
56,0.573385,0.182612
110,0.483572,0.756927
111,0.480001,0.750944
112,0.475756,0.743646
113,0.472019,0.736437
114,0.468128,0.728616
115,0.464249,0.720305
116,0.460068,0.711391
117,0.456346,0.701828
118,0.451945,0.694045
119,0.447677,0.684535
120,0.442905,0.674752
121,0.438632,0.664680
122,0.435009,0.655221
123,0.430150,0.644986
124,0.427468,0.634310
125,0.423204,0.623729
126,0.419597,0.613682
127,0.415594,0.603787
128,0.413200,0.592566
129,0.410630,0.581631
130,0.407795,0.573178
131,0.405356,0.555838
132,0.404196,0.548426
133,0.403367,0.537905
134,0.403164,0.526453
135,0.403567,0.516067
136,0.406988,0.504687
137,0.408462,0.493722
138,0.411362,0.483121
139,0.415000,0.472683
140,0.418274,0.464041
141,0.426632,0.448213
142,0.429241,0.442644
143,0.433783,0.434294
144,0.438800,0.424341
145,0.443548,0.414735
146,0.448282,0.405496
147,0.452925,0.396776
148,0.457516,0.387706
149,0.461769,0.378725
150,0.465766,0.369610
151,0.469270,0.360797
152,0.472160,0.352899
153,0.475620,0.342540
154,0.477883,0.334838
155,0.480547,0.326891
156,0.482677,0.318664
157,0.484661,0.310430
158,0.486174,0.302852
159,0.487341,0.295192
160,0.488354,0.287843
161,0.488943,0.280767
162,0.489417,0.276684
163,0.489396,0.266823
164,0.489422,0.261726
165,0.489233,0.256437
166,0.488804,0.250522
167,0.487988,0.245148
168,0.487108,0.239942
169,0.485877,0.235110
170,0.484563,0.230496
171,0.462146,0.236904
172,0.465780,0.229755
173,0.473941,0.220210
174,0.476636,0.213449
175,0.480675,0.205718
176,0.484520,0.198900
177,0.490068,0.192384
178,0.494667,0.186923
179,0.500463,0.181306
180,0.506195,0.177269
181,0.515569,0.172474
182,0.523982,0.170653
183,0.532658,0.170048
184,0.541267,0.171279
185,0.549945,0.174549
186,0.555028,0.177374
187,0.560357,0.183963
188,0.564322,0.189805
189,0.567715,0.197074
190,0.571019,0.204384
191,0.573481,0.211948
192,0.580959,0.221631
193,0.584542,0.230072
194,0.587252,0.240527
195,0.591116,0.250488
196,0.594293,0.257564
197,0.598275,0.265116
198,0.546275,0.243154
199,0.544177,0.248533
200,0.541950,0.254228
201,0.540398,0.260004
202,0.539190,0.265036
203,0.538047,0.275236
204,0.537425,0.279151
205,0.536889,0.286060
206,0.536839,0.292933
207,0.537089,0.300432
208,0.537578,0.308090
209,0.538029,0.316370
210,0.539112,0.324682
211,0.540109,0.332966
212,0.643705,0.394699
213,0.544956,0.355610
214,0.648387,0.409767
215,0.548852,0.368606
216,0.551724,0.377700
217,0.555010,0.386917
218,0.558834,0.396311
219,0.562844,0.405833
220,0.567036,0.415128
221,0.571259,0.424507
222,0.575543,0.434276
223,0.579928,0.443789
224,0.582954,0.450805
225,0.589217,0.466379
226,0.591957,0.475029
227,0.594528,0.485518
228,0.596243,0.496402
229,0.597190,0.507560
230,0.597948,0.518953
231,0.596919,0.530055
232,0.596173,0.541138
233,0.594241,0.552004
234,0.592241,0.559121
235,0.587249,0.575163
236,0.584555,0.584366
237,0.582458,0.595162
238,0.578919,0.605539
239,0.574965,0.616197
240,0.570987,0.626002
241,0.567363,0.638050
242,0.563695,0.647843
243,0.558411,0.657436
244,0.555535,0.667563
245,0.551290,0.677068
246,0.547016,0.687160
247,0.542900,0.695224
248,0.538606,0.704032
249,0.535136,0.714087
250,0.530530,0.722286
251,0.526689,0.730871
252,0.522998,0.738796
253,0.519432,0.746353
254,0.516003,0.753672
255,0.513159,0.761443
256,0.509722,0.768890
257,0.507419,0.774930
258,0.502643,0.778352
259,0.502495,0.781049
260,0.502422,0.786827
261,0.503897,0.789896
273,0.494517,0.823438
274,0.494150,0.825290
275,0.508162,0.838972
276,0.510532,0.828044
277,0.509448,0.822647
284,0.502207,0.819810
286,0.491481,0.821875
287,0.493750,0.831250
289,0.474843,0.823614
290,0.469385,0.822641
291,0.464561,0.821822
292,0.459091,0.820144
293,0.453459,0.818604
294,0.449816,0.821643
295,0.441531,0.813949
296,0.436446,0.810693
297,0.430808,0.807510
298,0.426071,0.803355
299,0.417624,0.804444
300,0.416274,0.794834
301,0.412765,0.796345
302,0.406127,0.785675
303,0.399263,0.779306
304,0.395575,0.772588
305,0.391842,0.764873
306,0.388122,0.757307
307,0.383826,0.749896
308,0.380115,0.741871
309,0.380210,0.736014
310,0.374105,0.726303
311,0.370803,0.717841
312,0.368109,0.709636
313,0.365494,0.700920
314,0.362800,0.692977
315,0.360606,0.682140
316,0.358455,0.673252
317,0.355739,0.664067
318,0.352798,0.658435
319,0.351649,0.646098
320,0.349655,0.636536
321,0.346366,0.627937
322,0.344382,0.618382
323,0.343158,0.608926
324,0.341377,0.598772
325,0.339305,0.589149
326,0.335938,0.582812
327,0.335264,0.570947
328,0.332658,0.560139
329,0.330957,0.551449
330,0.328586,0.537160
331,0.325714,0.530332
332,0.323850,0.520811
333,0.317106,0.512812
334,0.312470,0.504124
335,0.307265,0.497738
336,0.301314,0.494843
337,0.296225,0.495291
338,0.292617,0.498372
339,0.290288,0.503211
340,0.289252,0.507663
363,0.347374,0.750262
364,0.350033,0.751811
365,0.354736,0.755508
366,0.357054,0.757054
368,0.331250,0.757812
382,0.560172,0.467187
383,0.463362,0.821028
385,0.478439,0.826911
386,0.478930,0.826758
389,0.485967,0.825598
390,0.482397,0.833214
422,0.301563,0.470313
423,0.303125,0.457076
424,0.304493,0.451396
425,0.305730,0.443571
426,0.307650,0.435707
427,0.309913,0.427818
428,0.312913,0.419389
429,0.315576,0.411490
430,0.318877,0.403577
431,0.322013,0.395350
432,0.325401,0.387249
433,0.328930,0.379324
434,0.332484,0.371565
435,0.336257,0.364344
436,0.340548,0.356049
437,0.345612,0.347314
438,0.349547,0.341150
439,0.354518,0.333618
440,0.359593,0.326386
441,0.365205,0.318844
442,0.370670,0.311894
443,0.376457,0.304789
444,0.381562,0.298801
445,0.388546,0.290914
446,0.395229,0.283486
447,0.400800,0.277637
448,0.407462,0.270853
449,0.414203,0.264439
450,0.420629,0.258160
451,0.427632,0.251791
452,0.434121,0.245840
453,0.438300,0.242137
454,0.446697,0.232823
455,0.448437,0.231250
467,0.495809,0.191114
476,0.435363,0.251075
477,0.428966,0.258489
478,0.425979,0.261097
479,0.420804,0.266063
480,0.414879,0.271712
