index,x,y,z,xn,yn,zn,error
20,19.495618,13.106080,16.198044,-0.880411,-0.196406,0.431626,2.131897
21,19.295797,13.298585,16.266241,-0.880411,-0.196406,0.431626,13.068364
22,19.983367,13.026671,15.630467,-0.753755,-0.552105,-0.356417,52.360619
23,19.695605,13.379311,15.801261,-0.880411,-0.196406,0.431626,68.547342
24,19.144549,14.510693,15.423424,-0.909820,-0.243055,0.336380,59.176155
25,18.923852,15.054760,15.215015,-0.910804,-0.245787,0.331700,38.699523
26,18.486277,15.812107,14.994139,-0.900378,-0.244860,0.359671,50.163133
27,-1.050917,14.471232,8.514089,-0.920143,0.238335,-0.310699,98.548618
28,17.639047,17.430713,14.348487,-0.673584,-0.544470,-0.499837,111.702386
29,17.079923,18.222136,14.072442,-0.666506,-0.543194,-0.510598,39.934405
30,16.561846,18.974720,13.772085,-0.646101,-0.550820,-0.528348,44.241242
31,16.106426,19.815113,13.468114,-0.491099,-0.543110,-0.681067,50.809391
32,15.527754,20.685564,13.595366,0.425705,0.534034,0.730468,84.542428
33,15.115907,21.435076,12.952399,-0.373181,-0.522340,-0.766745,25.350388
34,14.466168,22.244043,12.764985,0.332421,0.511967,0.792077,33.549738
35,14.274370,23.082745,12.176816,-0.305557,-0.504578,-0.807487,42.244579
36,13.950279,24.015014,11.907611,-0.354982,-0.540277,-0.762947,37.228511
37,13.571253,24.816893,11.555421,-0.405615,-0.561233,-0.721453,46.652876
38,13.251204,25.706711,11.226940,-0.443896,-0.591304,-0.673287,30.946384
39,12.851982,26.567157,10.881801,-0.458364,-0.580271,-0.673193,44.541747
40,12.488263,27.443606,10.500070,-0.488526,-0.546881,-0.679900,38.740834
41,12.141751,28.303100,10.143424,-0.500748,-0.534780,-0.680633,50.280908
42,11.781743,29.149915,9.790415,0.540328,0.523443,0.658827,44.034621
43,11.397968,29.988635,9.416880,0.520719,0.528045,0.670835,45.322262
44,11.000375,30.772367,9.099377,-0.523138,-0.528759,-0.668386,137.348189
45,10.524404,31.759606,8.622836,-0.570890,-0.559593,-0.600783,47.338339
46,10.135579,32.467976,8.273436,-0.631841,-0.597434,-0.493811,40.868506
47,9.645925,33.289405,7.876352,-0.627642,-0.614339,-0.478177,34.759342
48,9.214752,34.079632,7.467528,-0.643006,-0.630843,-0.434258,33.942022
49,8.767408,34.840510,7.078198,-0.571276,-0.654635,-0.495073,39.560035
50,8.285426,35.598955,6.672611,-0.527927,-0.682575,-0.505355,47.688990
51,7.793657,36.351247,6.279424,-0.479355,-0.716139,-0.507310,39.949390
52,7.192135,37.108638,5.793923,0.452868,0.753565,0.476499,36.407555
53,6.501336,37.835239,5.458784,0.421810,0.793124,0.439352,20.894719
54,5.783285,38.351178,5.195265,-0.302848,-0.842225,-0.446028,43.046446
55,4.870723,38.789226,5.200420,-0.216011,-0.861177,-0.460123,33.694549
56,3.947987,39.058215,5.277638,-0.144352,-0.859348,-0.490594,40.083250
57,2.981091,39.086112,5.416429,-0.067732,-0.857518,-0.509976,34.693449
58,2.249090,38.833326,5.222286,0.018998,0.900570,0.434295,116.325192
59,1.209239,38.474945,5.788944,-0.043875,0.851481,0.522547,89.114457
60,0.722518,37.918564,6.798972,0.109638,-0.781867,-0.613729,30.120305
61,0.350507,37.259130,7.419260,0.126415,-0.737426,-0.663492,41.017011
62,-0.007430,36.396529,8.116275,0.201752,-0.729615,-0.653420,38.288074
63,-0.353038,35.845520,8.455230,0.300097,-0.681074,-0.667893,57.467386
64,-0.394175,34.894996,9.251751,0.343347,-0.648435,-0.679444,48.856092
65,-0.666866,34.123390,9.866353,0.391805,-0.616452,-0.682991,30.313434
66,-0.836957,33.314576,10.427468,0.439202,-0.572944,-0.691980,33.842290
67,-0.999622,32.540830,10.974253,0.447239,-0.556385,-0.700295,45.013984
68,-1.260210,31.836311,11.483789,0.373905,-0.531923,-0.759772,30.361201
69,-1.259114,30.448130,12.224844,0.241539,-0.503220,-0.829716,19.034881
70,-1.492824,29.984446,12.628924,0.237255,-0.507931,-0.828080,23.714994
71,-1.612247,29.165808,13.118610,0.228465,-0.517888,-0.824376,29.883599
72,-1.631000,28.276392,13.596016,0.149748,-0.540127,-0.828154,36.521765
73,-1.746230,27.418251,14.082448,0.113834,-0.553209,-0.825228,37.037461
74,-1.793571,26.541479,14.563827,0.000539,-0.531647,-0.846966,19.800460
75,-1.915375,25.654690,14.960221,-0.000563,-0.544398,-0.838827,33.156911
76,-2.064925,24.756594,15.403902,-0.000567,-0.520718,-0.853729,29.937882
77,-2.224271,23.924530,15.817335,-0.120035,-0.459290,-0.880139,18.334044
78,-2.196078,22.989907,16.391545,-0.106120,-0.457672,-0.882766,45.175862
79,-2.295526,22.183670,16.859977,-0.100865,-0.467400,-0.878273,32.981295
80,-2.541758,21.394859,17.307182,-0.028415,-0.486473,-0.873233,45.547703
81,-2.914543,20.490218,17.715728,0.129345,-0.518139,-0.845460,39.664395
82,-2.773659,19.780174,17.505753,0.196279,-0.528351,-0.826026,4.358291
83,-3.438288,18.772075,18.532905,0.544435,-0.522295,-0.656352,27.383814
84,-3.194345,18.246623,18.243652,0.593486,-0.515926,-0.617734,35.239370
85,-3.247495,17.279780,18.608731,0.662150,-0.492576,-0.564736,57.310220
86,-3.468636,16.521365,19.010117,0.678474,-0.480616,-0.555591,37.388716
87,-4.868179,15.825710,19.815763,0.695680,-0.469814,-0.543418,22.431639
88,-4.986996,15.055114,20.164250,0.700996,-0.470257,-0.536156,23.966450
89,-5.230176,14.162019,20.639986,0.713066,-0.476767,-0.514034,17.754525
90,-5.384825,13.362575,21.028338,0.728522,-0.479190,-0.489523,24.042530
91,-5.598605,12.660710,21.394386,0.743814,-0.484502,-0.460434,7.215751
92,-5.066845,12.329198,21.293025,0.743814,-0.484502,-0.460434,10.415718
93,-5.056554,12.110124,21.491338,0.733274,-0.504982,-0.455305,10.770475
110,-15.548269,-21.610886,10.969534,-0.699894,-0.616885,0.360001,17.512786
111,-16.142187,-20.957208,10.946378,-0.694285,-0.585531,0.418476,22.210834
112,-16.860398,-20.161570,10.899002,-0.710872,-0.559559,0.426093,41.062465
113,-17.471874,-19.428433,10.897625,-0.729593,-0.530576,0.431489,33.453027
114,-18.016657,-18.629305,10.817968,-0.749719,-0.468893,0.466970,31.414401
115,-18.559971,-17.801012,10.725326,-0.761893,-0.443057,0.472461,28.206285
116,-19.163859,-16.929135,10.661280,-0.770870,-0.423520,0.475806,24.196105
117,-19.540058,-16.064638,10.475784,-0.778478,-0.402216,0.481866,20.437679
118,-19.992385,-15.263991,10.280264,-0.786006,-0.370796,0.494676,48.791630
119,-20.479579,-14.457669,10.111112,-0.794005,-0.352197,0.495493,28.492912
120,-21.204269,-13.498143,10.093155,-0.842045,-0.355487,0.405695,4.867736
121,-21.551968,-12.613357,9.842247,-0.878490,-0.395894,0.267437,17.971554
122,-21.726960,-11.773569,9.441687,-0.924408,-0.345301,0.161977,36.861796
123,-22.073663,-10.828190,9.182151,-0.935382,-0.308763,0.172413,37.490224
124,-22.717816,-9.907026,9.241276,-0.944615,-0.263620,0.195467,40.780910
125,-23.292080,-9.191598,8.825036,0.947494,0.254539,-0.193560,26.257472
126,-23.536210,-8.042297,8.917666,-0.951767,-0.176812,0.250753,24.875481
127,-23.655078,-7.165960,8.540815,-0.951933,-0.170525,0.254451,34.520086
128,-23.802215,-6.202770,8.283486,-0.948872,-0.123208,0.290622,39.506323
129,-23.508803,-5.243416,7.713838,-0.940915,-0.075311,0.330163,19.832855
130,-23.586059,-4.497840,7.408918,-0.940944,-0.045498,0.335492,26.256945
131,-23.702035,-3.044132,7.102481,-0.930041,-0.021839,0.366806,40.171531
132,-23.680389,-2.341094,6.915637,-0.914641,0.022594,0.403634,9.146352
133,-23.760344,-1.422701,6.816800,-0.898972,0.064635,0.433210,19.847314
134,-23.649346,-0.374831,6.658895,-0.883590,0.101162,0.457203,34.986007
135,-23.498340,0.974013,6.643768,-0.867880,0.138885,0.476965,77.345883
136,-23.261829,1.663274,6.559007,-0.864944,0.144872,0.480504,54.283556
137,-23.029572,2.635016,6.535991,-0.860177,0.156608,0.485356,34.574943
138,-22.841230,3.569679,6.628932,-0.855296,0.177420,0.486817,23.206744
139,-22.592293,4.510474,6.772041,-0.853448,0.184279,0.487511,24.121216
140,-23.441757,5.455152,7.033859,-0.850284,0.194413,0.489102,98.368103
141,-21.850257,6.556083,7.172650,-0.838487,0.226845,0.495460,57.179657
142,-21.505916,7.356949,7.362186,-0.835546,0.236680,0.495828,28.847304
143,-21.167736,8.199458,7.582960,-0.850392,0.268988,0.452194,31.135021
144,-20.820288,9.111142,7.816199,-0.848555,0.289443,0.442920,24.725896
145,-20.441374,10.004669,8.012329,-0.848233,0.311417,0.428393,24.027649
146,-20.017244,10.917148,8.190799,-0.845532,0.321313,0.426419,19.659207
147,-19.621245,11.785178,8.369414,-0.839716,0.349756,0.415388,20.252202
148,-19.168756,12.663861,8.508998,-0.830295,0.378518,0.409065,12.902875
149,-18.719614,13.531002,8.616158,-0.825127,0.387736,0.410886,20.883921
150,-18.258909,14.449917,8.663854,-0.828544,0.397632,0.394214,13.727819
151,-17.806768,15.339536,8.671867,-0.824935,0.417882,0.380600,14.393063
152,-17.388085,16.133732,8.637839,-0.819704,0.431973,0.376146,27.585694
153,-16.820785,17.234266,8.579542,-0.809393,0.460142,0.364902,27.530768
154,-16.412371,18.015724,8.478856,-0.803230,0.467784,0.368781,16.774607
155,-15.947875,18.869876,8.364398,-0.798232,0.486948,0.354552,19.868340
156,-15.450777,19.763315,8.212979,-0.791813,0.505260,0.343140,20.068302
157,-14.978372,20.641942,8.026277,-0.784079,0.523474,0.333460,20.646825
158,-14.525669,21.477627,7.817392,-0.778371,0.534301,0.329636,27.786926
159,-14.044561,22.325243,7.565840,-0.768620,0.550142,0.326446,22.329882
160,-13.567504,23.176456,7.267922,-0.758144,0.568076,0.320168,23.688853
161,-13.136503,23.955931,6.971973,-0.746633,0.585918,0.315024,32.365511
162,-12.573541,24.677383,6.629223,-0.739913,0.595839,0.312259,47.316102
163,-12.073482,25.646598,6.155985,-0.725070,0.614274,0.311353,39.186713
164,-11.608918,26.337300,5.794762,-0.694804,0.639847,0.328396,22.918365
165,-11.150783,27.042299,5.378082,-0.660005,0.665915,0.347780,23.270603
166,-10.593446,27.808312,4.879586,-0.654980,0.672254,0.345075,23.717812
167,-10.249276,28.352561,4.535519,-0.651616,0.676180,0.343769,64.441117
168,-9.607127,29.222392,3.871726,-0.715292,0.670710,0.196228,25.374504
169,-9.140651,29.923742,3.325560,-0.750586,0.642150,0.155770,24.735700
170,-8.685300,30.606641,2.769660,-0.787101,0.607603,0.106253,29.018957
171,-8.206554,31.338671,2.154074,0.800315,-0.596326,-0.062373,29.361888
172,-7.602523,32.021080,1.719884,0.812000,-0.579755,-0.067385,26.886045
173,-7.239413,32.580107,0.691670,0.820679,-0.563549,0.094333,38.563782
174,-6.613458,33.468274,0.542171,-0.807664,0.583074,-0.087772,74.648641
175,-6.378428,34.166908,0.709115,0.790832,-0.606949,0.078719,121.278719
176,-5.432480,35.151174,0.553129,0.768723,-0.635953,0.068044,36.638630
177,-5.067568,35.958040,0.488886,-0.759480,0.649657,-0.033719,53.864976
178,-4.348182,36.723991,0.581954,-0.707132,0.704428,-0.061203,50.227946
179,-3.679016,37.581214,0.854871,-0.667810,0.743838,0.027116,53.701128
180,-3.074351,38.179932,1.242849,-0.587392,0.804446,0.088532,55.328836
181,-2.488594,38.695724,1.964399,-0.554439,0.814097,0.172755,31.012354
182,-1.958911,38.955969,2.712934,-0.508481,0.827689,0.237442,24.994841
183,-1.560417,39.003360,3.573302,-0.500488,0.827316,0.255067,40.273882
184,-1.210945,38.833220,4.467073,-0.452772,0.833145,0.317597,17.125060
185,-0.944374,38.439502,5.392379,-0.414892,0.821096,0.392002,34.597682
186,-1.034915,37.954047,6.148609,-0.396128,0.795156,0.459140,23.747662
187,-1.165770,37.091432,6.980264,-0.410621,0.731940,0.543740,18.416048
188,-1.368707,36.323927,7.551213,-0.390775,0.716902,0.577361,52.210112
189,-1.794378,35.500367,7.855328,0.414512,-0.672420,-0.613214,23.784370
190,-2.352158,34.766153,8.284050,0.472623,-0.617304,-0.628938,40.716328
191,-2.746916,33.981547,8.513162,0.496665,-0.603792,-0.623505,16.571769
192,-3.352150,33.195638,8.703005,0.456284,-0.586607,-0.669102,32.431169
193,-3.957965,32.457118,8.862360,0.450368,-0.567466,-0.689312,30.401430
194,-4.605695,31.761660,9.014381,0.577899,-0.577204,-0.576948,25.612725
195,-5.526384,30.837024,9.233760,0.594201,-0.593176,-0.543201,50.069885
196,-4.627427,29.535419,10.497181,-0.428364,0.537492,0.726365,81.481178
197,-4.296755,28.865459,10.545702,-0.399706,0.513716,0.759165,47.998664
198,-7.378089,28.783409,9.709563,-0.573836,0.663879,0.479559,29.778714
199,-7.989418,28.072407,9.901217,-0.566518,0.678595,0.467510,28.780836
200,-8.649208,27.309385,10.099473,-0.580442,0.668533,0.464920,29.229381
201,-9.258170,26.560450,10.359570,-0.620621,0.655338,0.430536,33.867022
202,-9.816615,25.897609,10.631051,-0.666439,0.642523,0.378186,30.445465
203,-10.527250,25.139607,10.760105,0.672667,-0.630465,-0.387341,94.731944
204,-10.984878,24.194954,11.282168,-0.678920,0.618236,0.396045,25.398713
205,-11.452912,23.416487,11.589560,-0.742104,0.570921,0.351185,26.280472
206,-11.904220,22.629165,11.916147,-0.745701,0.555216,0.368326,24.168870
207,-12.336316,21.784191,12.280001,-0.756501,0.535264,0.375764,23.257438
208,-12.726974,20.946846,12.628664,-0.766321,0.513873,0.385599,21.187208
209,-13.100199,20.066902,13.003457,-0.775172,0.491979,0.396315,20.531544
210,-13.441185,19.194725,13.371681,-0.780865,0.476331,0.404177,24.300973
211,-13.730401,18.326243,13.750564,-0.788134,0.454347,0.415228,21.381077
212,-14.006973,17.514575,14.130491,0.792828,-0.427603,-0.434256,34.396883
213,-14.359049,16.940863,14.270860,0.793596,-0.422622,-0.437718,37.297123
214,-14.451606,15.632540,15.044256,0.798957,-0.391584,-0.456430,34.250945
215,-14.554546,14.832603,15.447934,-0.804615,0.376523,0.459157,33.825937
216,-14.603075,13.909323,15.868869,-0.810374,0.355333,0.465868,29.083284
217,-14.663636,13.026912,16.333482,-0.810899,0.342990,0.474131,24.421356
218,-14.731601,12.169101,16.828111,-0.748183,0.360820,0.556805,23.868670
219,-14.723880,11.260335,17.321205,-0.643414,0.419900,0.640079,31.489246
220,-14.740845,10.434014,17.806572,-0.580015,0.435888,0.688174,30.136296
221,-14.713758,9.552629,18.309896,-0.570471,0.418229,0.706858,33.615911
222,-14.682589,8.693781,18.798207,0.471858,-0.386643,-0.792375,35.873145
223,-14.627603,7.826847,19.266999,-0.516877,0.388085,0.763038,28.027552
224,-14.685712,7.065101,19.676046,-0.674018,0.334407,0.658689,59.959699
225,-14.495263,5.876658,20.238444,-0.844293,0.157345,0.512261,44.776011
226,-14.440997,5.060313,20.522431,-0.840337,0.142796,0.522918,24.778705
227,-14.419379,4.109604,20.831704,-0.844084,0.125732,0.521261,33.340700
228,-14.481625,3.147906,21.079414,-0.833881,0.086371,0.545145,39.497478
229,-14.452682,2.174686,21.228683,-0.831255,0.074911,0.550820,26.720532
230,-14.622716,1.030769,21.841168,-0.821866,0.047723,0.567679,55.021940
231,-14.485235,0.134958,21.579162,-0.799902,0.027406,0.599504,78.923671
232,-14.928768,-1.052818,22.977557,-0.777691,-0.027313,0.628054,60.223145
233,-13.944606,-1.838090,21.918483,-0.769385,-0.048716,0.636925,105.496249
234,-14.839674,-2.491235,21.240661,-0.753083,-0.039063,0.656765,47.475295
235,-14.980702,-3.877586,20.925682,-0.718137,-0.093020,0.689656,42.685389
236,-14.938163,-4.723896,20.703678,-0.700810,-0.097725,0.706622,52.653005
237,-15.170497,-5.677704,20.607036,-0.689605,-0.125838,0.713169,86.791425
238,-15.351151,-6.763912,20.648068,0.667135,0.159873,-0.727579,43.127534
239,-15.385753,-7.662677,20.263030,0.647269,0.194990,-0.736900,42.688401
240,-15.665237,-8.728958,20.317661,0.647149,0.209376,-0.733048,49.052549
241,-15.394895,-9.572920,19.449790,-0.632976,-0.241228,0.735629,50.601502
242,-15.439700,-10.489021,19.141438,-0.635916,-0.261582,0.726075,45.799941
243,-15.637051,-11.389269,18.813765,-0.636032,-0.276189,0.720544,53.310715
244,-15.636513,-12.329683,18.507181,-0.701743,-0.312674,0.640150,48.715983
245,-15.654244,-13.320874,18.161404,-0.774795,-0.276427,0.568578,87.759916
246,-15.563483,-14.173105,17.717072,-0.755068,-0.327661,0.567900,56.369094
247,-15.455901,-15.061218,17.235868,-0.744881,-0.356862,0.563739,60.109201
248,-15.397085,-15.921649,16.788164,-0.741094,-0.371385,0.559333,47.108930
249,-15.259144,-16.840222,16.335630,-0.720786,-0.408094,0.560293,39.645874
250,-15.105520,-17.692945,15.815428,0.709926,0.429042,-0.558504,37.950628
251,-14.959476,-18.537982,15.339977,0.697002,0.456852,-0.552697,36.258109
252,-14.737644,-19.394004,14.820161,0.677029,0.521697,-0.519100,34.853200
253,-14.572573,-20.165242,14.328921,-0.672944,-0.552749,0.491544,28.017323
254,-14.301989,-21.018150,13.796871,-0.673844,-0.582426,0.454659,33.825325
255,-13.983829,-21.869388,13.278099,0.648169,0.612677,-0.452220,45.324859
256,-13.686741,-22.657265,12.763803,-0.651723,-0.644156,0.400400,44.908322
257,-13.867907,-23.520886,11.607141,0.646272,0.695448,-0.314143,54.093349
258,-12.938055,-24.062502,11.607378,0.634568,0.713181,-0.297821,64.269032
259,-12.235407,-24.827540,11.643814,-0.620576,-0.731262,0.283094,118.830922
260,-11.781903,-25.240391,10.770687,-0.610177,-0.764195,0.209021,54.120631
261,-10.924704,-25.739888,10.242070,-0.602653,-0.775905,0.186497,0.388056
262,-11.038768,-26.294932,8.946738,0.522148,0.809091,-0.269692,45.640101
263,-10.581959,-26.732843,8.302992,0.502093,0.819952,-0.274919,44.492744
264,-10.290042,-27.213150,7.301423,0.469975,0.835518,-0.284662,14.120861
